ModuleColor	Gene
blue	Bradi2g61090.2
blue	Bradi2g61150.1
blue	Bradi2g61436.1
blue	Bradi2g62550.1
blue	Bradi3g01920.1
blue	Bradi3g02600.2
blue	Bradi3g02600.3
blue	Bradi3g03080.1
blue	Bradi3g03080.2
blue	Bradi3g03120.1
blue	Bradi3g03120.2
blue	Bradi3g03740.2
blue	Bradi3g04010.1
blue	Bradi3g04410.1
blue	Bradi3g04940.1
blue	Bradi3g05340.1
blue	Bradi3g05410.1
blue	Bradi3g05577.1
blue	Bradi3g05660.1
blue	Bradi3g05800.1
blue	Bradi3g06060.2
blue	Bradi3g06070.1
blue	Bradi3g06487.2
blue	Bradi3g06620.1
blue	Bradi3g06620.2
blue	Bradi3g06620.3
blue	Bradi3g06717.1
blue	Bradi3g07300.1
blue	Bradi3g07730.3
blue	Bradi3g10437.2
blue	Bradi3g10437.3
blue	Bradi3g10710.1
blue	Bradi3g10810.1
blue	Bradi3g11050.1
blue	Bradi3g11220.5
blue	Bradi3g11530.1
blue	Bradi3g11530.2
blue	Bradi3g12640.1
blue	Bradi3g12840.2
blue	Bradi3g13450.1
blue	Bradi3g13460.1
blue	Bradi3g14170.1
blue	Bradi3g14190.3
blue	Bradi3g14970.1
blue	Bradi3g15627.1
blue	Bradi3g15627.2
blue	Bradi3g17658.1
blue	Bradi3g17741.1
blue	Bradi3g17750.1
blue	Bradi3g17935.1
blue	Bradi3g18090.1
blue	Bradi3g18090.2
blue	Bradi3g18600.1
blue	Bradi3g18772.1
blue	Bradi3g18850.1
blue	Bradi3g19077.3
blue	Bradi3g21610.5
blue	Bradi3g21680.3
blue	Bradi3g23060.1
blue	Bradi3g23180.1
blue	Bradi3g26370.1
blue	Bradi3g26860.7
blue	Bradi3g27252.1
blue	Bradi3g28730.2
blue	Bradi3g29810.1
blue	Bradi3g29910.2
blue	Bradi3g30154.1
blue	Bradi3g30510.1
blue	Bradi3g30730.2
blue	Bradi3g31820.1
blue	Bradi3g31827.1
blue	Bradi3g32380.1
blue	Bradi3g32380.2
blue	Bradi3g32380.3
blue	Bradi3g33400.2
blue	Bradi3g33722.4
blue	Bradi3g33980.1
blue	Bradi3g33990.1
blue	Bradi3g34097.1
blue	Bradi3g34227.1
blue	Bradi3g34350.1
blue	Bradi3g34524.2
blue	Bradi3g34580.1
blue	Bradi3g34850.1
blue	Bradi3g35517.1
blue	Bradi3g35550.1
blue	Bradi3g35590.1
blue	Bradi3g36090.1
blue	Bradi3g36407.1
blue	Bradi3g36480.1
blue	Bradi3g36480.2
blue	Bradi3g37980.1
blue	Bradi3g38410.1
blue	Bradi3g38640.1
blue	Bradi3g38970.1
blue	Bradi3g38970.4
blue	Bradi3g38970.5
blue	Bradi3g39090.1
blue	Bradi3g40950.1
blue	Bradi3g41600.5
blue	Bradi3g42280.1
blue	Bradi3g42280.2
blue	Bradi3g42400.2
blue	Bradi3g42760.3
blue	Bradi3g43965.1
blue	Bradi3g44130.1
blue	Bradi3g44540.1
blue	Bradi3g44640.1
blue	Bradi3g44640.3
blue	Bradi3g44770.1
blue	Bradi3g44770.2
blue	Bradi3g45250.1
blue	Bradi3g46030.1
blue	Bradi3g46430.1
blue	Bradi3g46430.2
blue	Bradi3g46460.1
blue	Bradi3g46490.1
blue	Bradi3g46530.1
blue	Bradi3g46557.1
blue	Bradi3g46710.1
